time,node_id,order_qty,policy_type
0,W1,0.0,BaseStockPolicy
0,W2,0.0,BaseStockPolicy
0,R1,155.0,BaseStockPolicy
0,R2,87.0,BaseStockPolicy
0,R3,274.0,BaseStockPolicy
1,W1,242.0,BaseStockPolicy
1,W2,274.0,BaseStockPolicy
1,R1,121.0,BaseStockPolicy
1,R2,90.0,BaseStockPolicy
1,R3,268.0,BaseStockPolicy
2,W1,211.0,BaseStockPolicy
2,W2,268.0,BaseStockPolicy
2,R1,99.0,BaseStockPolicy
2,R2,76.0,BaseStockPolicy
2,R3,153.0,BaseStockPolicy
3,W1,175.0,BaseStockPolicy
3,W2,153.0,BaseStockPolicy
3,R1,105.0,BaseStockPolicy
3,R2,83.0,BaseStockPolicy
3,R3,188.0,BaseStockPolicy
4,W1,188.0,BaseStockPolicy
4,W2,188.0,BaseStockPolicy
4,R1,92.0,BaseStockPolicy
4,R2,73.0,BaseStockPolicy
4,R3,154.0,BaseStockPolicy
5,W1,165.0,BaseStockPolicy
5,W2,154.0,BaseStockPolicy
5,R1,113.0,BaseStockPolicy
5,R2,106.0,BaseStockPolicy
5,R3,211.0,BaseStockPolicy
6,W1,219.0,BaseStockPolicy
6,W2,211.0,BaseStockPolicy
6,R1,110.0,BaseStockPolicy
6,R2,91.0,BaseStockPolicy
6,R3,204.0,BaseStockPolicy
7,W1,201.0,BaseStockPolicy
7,W2,204.0,BaseStockPolicy
7,R1,176.0,BaseStockPolicy
7,R2,149.0,BaseStockPolicy
7,R3,299.0,BaseStockPolicy
8,W1,325.0,BaseStockPolicy
8,W2,299.0,BaseStockPolicy
8,R1,165.0,BaseStockPolicy
8,R2,96.0,BaseStockPolicy
8,R3,276.0,BaseStockPolicy
9,W1,261.0,BaseStockPolicy
9,W2,276.0,BaseStockPolicy
9,R1,95.0,BaseStockPolicy
9,R2,113.0,BaseStockPolicy
9,R3,224.0,BaseStockPolicy
10,W1,208.0,BaseStockPolicy
10,W2,224.0,BaseStockPolicy
10,R1,96.0,BaseStockPolicy
10,R2,106.0,BaseStockPolicy
10,R3,184.0,BaseStockPolicy
11,W1,202.0,BaseStockPolicy
11,W2,184.0,BaseStockPolicy
11,R1,107.0,BaseStockPolicy
11,R2,98.0,BaseStockPolicy
11,R3,186.0,BaseStockPolicy
12,W1,205.0,BaseStockPolicy
12,W2,186.0,BaseStockPolicy
12,R1,119.0,BaseStockPolicy
12,R2,93.0,BaseStockPolicy
12,R3,157.0,BaseStockPolicy
13,W1,212.0,BaseStockPolicy
13,W2,157.0,BaseStockPolicy
13,R1,160.0,BaseStockPolicy
13,R2,118.0,BaseStockPolicy
13,R3,251.0,BaseStockPolicy
14,W1,278.0,BaseStockPolicy
14,W2,251.0,BaseStockPolicy
14,R1,224.0,BaseStockPolicy
14,R2,142.0,BaseStockPolicy
14,R3,347.0,BaseStockPolicy
15,W1,366.0,BaseStockPolicy
15,W2,347.0,BaseStockPolicy
15,R1,226.0,BaseStockPolicy
15,R2,155.0,BaseStockPolicy
15,R3,332.0,BaseStockPolicy
16,W1,381.0,BaseStockPolicy
16,W2,332.0,BaseStockPolicy
16,R1,142.0,BaseStockPolicy
16,R2,93.0,BaseStockPolicy
16,R3,217.0,BaseStockPolicy
17,W1,235.0,BaseStockPolicy
17,W2,217.0,BaseStockPolicy
17,R1,133.0,BaseStockPolicy
17,R2,83.0,BaseStockPolicy
17,R3,246.0,BaseStockPolicy
18,W1,216.0,BaseStockPolicy
18,W2,246.0,BaseStockPolicy
18,R1,126.0,BaseStockPolicy
18,R2,77.0,BaseStockPolicy
18,R3,182.0,BaseStockPolicy
19,W1,203.0,BaseStockPolicy
19,W2,182.0,BaseStockPolicy
19,R1,135.0,BaseStockPolicy
19,R2,77.0,BaseStockPolicy
19,R3,187.0,BaseStockPolicy
20,W1,212.0,BaseStockPolicy
20,W2,187.0,BaseStockPolicy
20,R1,154.0,BaseStockPolicy
20,R2,87.0,BaseStockPolicy
20,R3,248.0,BaseStockPolicy
21,W1,241.0,BaseStockPolicy
21,W2,248.0,BaseStockPolicy
21,R1,204.0,BaseStockPolicy
21,R2,100.0,BaseStockPolicy
21,R3,304.0,BaseStockPolicy
22,W1,304.0,BaseStockPolicy
22,W2,304.0,BaseStockPolicy
22,R1,184.0,BaseStockPolicy
22,R2,108.0,BaseStockPolicy
22,R3,272.0,BaseStockPolicy
23,W1,292.0,BaseStockPolicy
23,W2,272.0,BaseStockPolicy
23,R1,117.0,BaseStockPolicy
23,R2,89.0,BaseStockPolicy
23,R3,172.0,BaseStockPolicy
24,W1,206.0,BaseStockPolicy
24,W2,172.0,BaseStockPolicy
24,R1,139.0,BaseStockPolicy
24,R2,83.0,BaseStockPolicy
24,R3,212.0,BaseStockPolicy
25,W1,222.0,BaseStockPolicy
25,W2,212.0,BaseStockPolicy
25,R1,126.0,BaseStockPolicy
25,R2,66.0,BaseStockPolicy
25,R3,205.0,BaseStockPolicy
26,W1,192.0,BaseStockPolicy
26,W2,205.0,BaseStockPolicy
26,R1,120.0,BaseStockPolicy
26,R2,71.0,BaseStockPolicy
26,R3,190.0,BaseStockPolicy
27,W1,191.0,BaseStockPolicy
27,W2,190.0,BaseStockPolicy
27,R1,156.0,BaseStockPolicy
27,R2,99.0,BaseStockPolicy
27,R3,233.0,BaseStockPolicy
28,W1,255.0,BaseStockPolicy
28,W2,233.0,BaseStockPolicy
28,R1,165.0,BaseStockPolicy
28,R2,98.0,BaseStockPolicy
28,R3,305.0,BaseStockPolicy
29,W1,263.0,BaseStockPolicy
29,W2,305.0,BaseStockPolicy
29,R1,194.0,BaseStockPolicy
29,R2,77.0,BaseStockPolicy
29,R3,297.0,BaseStockPolicy
30,W1,271.0,BaseStockPolicy
30,W2,297.0,BaseStockPolicy
30,R1,119.0,BaseStockPolicy
30,R2,70.0,BaseStockPolicy
30,R3,168.0,BaseStockPolicy
31,W1,189.0,BaseStockPolicy
31,W2,168.0,BaseStockPolicy
31,R1,123.0,BaseStockPolicy
31,R2,83.0,BaseStockPolicy
31,R3,242.0,BaseStockPolicy
32,W1,206.0,BaseStockPolicy
32,W2,242.0,BaseStockPolicy
32,R1,127.0,BaseStockPolicy
32,R2,81.0,BaseStockPolicy
32,R3,208.0,BaseStockPolicy
33,W1,208.0,BaseStockPolicy
33,W2,208.0,BaseStockPolicy
33,R1,149.0,BaseStockPolicy
33,R2,102.0,BaseStockPolicy
33,R3,203.0,BaseStockPolicy
34,W1,251.0,BaseStockPolicy
34,W2,203.0,BaseStockPolicy
34,R1,166.0,BaseStockPolicy
34,R2,92.0,BaseStockPolicy
34,R3,250.0,BaseStockPolicy
35,W1,258.0,BaseStockPolicy
35,W2,250.0,BaseStockPolicy
35,R1,180.0,BaseStockPolicy
35,R2,138.0,BaseStockPolicy
35,R3,300.0,BaseStockPolicy
36,W1,318.0,BaseStockPolicy
36,W2,300.0,BaseStockPolicy
36,R1,179.0,BaseStockPolicy
36,R2,125.0,BaseStockPolicy
36,R3,313.0,BaseStockPolicy
37,W1,304.0,BaseStockPolicy
37,W2,313.0,BaseStockPolicy
37,R1,100.0,BaseStockPolicy
37,R2,85.0,BaseStockPolicy
37,R3,225.0,BaseStockPolicy
38,W1,185.0,BaseStockPolicy
38,W2,225.0,BaseStockPolicy
38,R1,117.0,BaseStockPolicy
38,R2,108.0,BaseStockPolicy
38,R3,206.0,BaseStockPolicy
39,W1,225.0,BaseStockPolicy
39,W2,206.0,BaseStockPolicy
39,R1,136.0,BaseStockPolicy
39,R2,84.0,BaseStockPolicy
39,R3,196.0,BaseStockPolicy
40,W1,220.0,BaseStockPolicy
40,W2,196.0,BaseStockPolicy
40,R1,123.0,BaseStockPolicy
40,R2,91.0,BaseStockPolicy
40,R3,226.0,BaseStockPolicy
41,W1,214.0,BaseStockPolicy
41,W2,226.0,BaseStockPolicy
41,R1,151.0,BaseStockPolicy
41,R2,82.0,BaseStockPolicy
41,R3,234.0,BaseStockPolicy
42,W1,233.0,BaseStockPolicy
42,W2,234.0,BaseStockPolicy
42,R1,180.0,BaseStockPolicy
42,R2,100.0,BaseStockPolicy
42,R3,345.0,BaseStockPolicy
43,W1,280.0,BaseStockPolicy
43,W2,345.0,BaseStockPolicy
43,R1,176.0,BaseStockPolicy
43,R2,84.0,BaseStockPolicy
43,R3,296.0,BaseStockPolicy
44,W1,260.0,BaseStockPolicy
44,W2,296.0,BaseStockPolicy
44,R1,119.0,BaseStockPolicy
44,R2,94.0,BaseStockPolicy
44,R3,200.0,BaseStockPolicy
45,W1,213.0,BaseStockPolicy
45,W2,200.0,BaseStockPolicy
45,R1,116.0,BaseStockPolicy
45,R2,77.0,BaseStockPolicy
45,R3,257.0,BaseStockPolicy
46,W1,193.0,BaseStockPolicy
46,W2,257.0,BaseStockPolicy
46,R1,119.0,BaseStockPolicy
46,R2,67.0,BaseStockPolicy
46,R3,209.0,BaseStockPolicy
47,W1,186.0,BaseStockPolicy
47,W2,209.0,BaseStockPolicy
47,R1,134.0,BaseStockPolicy
47,R2,97.0,BaseStockPolicy
47,R3,229.0,BaseStockPolicy
48,W1,231.0,BaseStockPolicy
48,W2,229.0,BaseStockPolicy
48,R1,121.0,BaseStockPolicy
48,R2,84.0,BaseStockPolicy
48,R3,228.0,BaseStockPolicy
49,W1,205.0,BaseStockPolicy
49,W2,228.0,BaseStockPolicy
49,R1,166.0,BaseStockPolicy
49,R2,81.0,BaseStockPolicy
49,R3,293.0,BaseStockPolicy
50,W1,247.0,BaseStockPolicy
50,W2,293.0,BaseStockPolicy
50,R1,198.0,BaseStockPolicy
50,R2,98.0,BaseStockPolicy
50,R3,344.0,BaseStockPolicy
51,W1,296.0,BaseStockPolicy
51,W2,344.0,BaseStockPolicy
51,R1,142.0,BaseStockPolicy
51,R2,69.0,BaseStockPolicy
51,R3,207.0,BaseStockPolicy
52,W1,211.0,BaseStockPolicy
52,W2,207.0,BaseStockPolicy
52,R1,114.0,BaseStockPolicy
52,R2,77.0,BaseStockPolicy
52,R3,214.0,BaseStockPolicy
53,W1,191.0,BaseStockPolicy
53,W2,214.0,BaseStockPolicy
53,R1,110.0,BaseStockPolicy
53,R2,60.0,BaseStockPolicy
53,R3,224.0,BaseStockPolicy
54,W1,170.0,BaseStockPolicy
54,W2,224.0,BaseStockPolicy
54,R1,112.0,BaseStockPolicy
54,R2,65.0,BaseStockPolicy
54,R3,208.0,BaseStockPolicy
55,W1,177.0,BaseStockPolicy
55,W2,208.0,BaseStockPolicy
55,R1,135.0,BaseStockPolicy
55,R2,65.0,BaseStockPolicy
55,R3,221.0,BaseStockPolicy
56,W1,200.0,BaseStockPolicy
56,W2,221.0,BaseStockPolicy
56,R1,185.0,BaseStockPolicy
56,R2,90.0,BaseStockPolicy
56,R3,268.0,BaseStockPolicy
57,W1,275.0,BaseStockPolicy
57,W2,268.0,BaseStockPolicy
57,R1,195.0,BaseStockPolicy
57,R2,83.0,BaseStockPolicy
57,R3,271.0,BaseStockPolicy
58,W1,278.0,BaseStockPolicy
58,W2,271.0,BaseStockPolicy
58,R1,104.0,BaseStockPolicy
58,R2,84.0,BaseStockPolicy
58,R3,183.0,BaseStockPolicy
59,W1,188.0,BaseStockPolicy
59,W2,183.0,BaseStockPolicy
59,R1,118.0,BaseStockPolicy
59,R2,69.0,BaseStockPolicy
59,R3,170.0,BaseStockPolicy
60,W1,187.0,BaseStockPolicy
60,W2,170.0,BaseStockPolicy
60,R1,104.0,BaseStockPolicy
60,R2,88.0,BaseStockPolicy
60,R3,175.0,BaseStockPolicy
61,W1,192.0,BaseStockPolicy
61,W2,175.0,BaseStockPolicy
61,R1,158.0,BaseStockPolicy
61,R2,82.0,BaseStockPolicy
61,R3,229.0,BaseStockPolicy
62,W1,240.0,BaseStockPolicy
62,W2,229.0,BaseStockPolicy
62,R1,184.0,BaseStockPolicy
62,R2,107.0,BaseStockPolicy
62,R3,262.0,BaseStockPolicy
63,W1,291.0,BaseStockPolicy
63,W2,262.0,BaseStockPolicy
63,R1,195.0,BaseStockPolicy
63,R2,121.0,BaseStockPolicy
63,R3,312.0,BaseStockPolicy
64,W1,316.0,BaseStockPolicy
64,W2,312.0,BaseStockPolicy
64,R1,220.0,BaseStockPolicy
64,R2,120.0,BaseStockPolicy
64,R3,283.0,BaseStockPolicy
65,W1,340.0,BaseStockPolicy
65,W2,283.0,BaseStockPolicy
65,R1,159.0,BaseStockPolicy
65,R2,129.0,BaseStockPolicy
65,R3,185.0,BaseStockPolicy
66,W1,288.0,BaseStockPolicy
66,W2,185.0,BaseStockPolicy
66,R1,124.0,BaseStockPolicy
66,R2,83.0,BaseStockPolicy
66,R3,205.0,BaseStockPolicy
67,W1,207.0,BaseStockPolicy
67,W2,205.0,BaseStockPolicy
67,R1,116.0,BaseStockPolicy
67,R2,83.0,BaseStockPolicy
67,R3,224.0,BaseStockPolicy
68,W1,199.0,BaseStockPolicy
68,W2,224.0,BaseStockPolicy
68,R1,137.0,BaseStockPolicy
68,R2,63.0,BaseStockPolicy
68,R3,172.0,BaseStockPolicy
69,W1,200.0,BaseStockPolicy
69,W2,172.0,BaseStockPolicy
69,R1,155.0,BaseStockPolicy
69,R2,67.0,BaseStockPolicy
69,R3,224.0,BaseStockPolicy
70,W1,222.0,BaseStockPolicy
70,W2,224.0,BaseStockPolicy
70,R1,219.0,BaseStockPolicy
70,R2,101.0,BaseStockPolicy
70,R3,303.0,BaseStockPolicy
71,W1,320.0,BaseStockPolicy
71,W2,303.0,BaseStockPolicy
71,R1,214.0,BaseStockPolicy
71,R2,118.0,BaseStockPolicy
71,R3,333.0,BaseStockPolicy
72,W1,332.0,BaseStockPolicy
72,W2,333.0,BaseStockPolicy
72,R1,127.0,BaseStockPolicy
72,R2,97.0,BaseStockPolicy
72,R3,246.0,BaseStockPolicy
73,W1,224.0,BaseStockPolicy
73,W2,246.0,BaseStockPolicy
73,R1,146.0,BaseStockPolicy
73,R2,91.0,BaseStockPolicy
73,R3,211.0,BaseStockPolicy
74,W1,237.0,BaseStockPolicy
74,W2,211.0,BaseStockPolicy
74,R1,116.0,BaseStockPolicy
74,R2,72.0,BaseStockPolicy
74,R3,240.0,BaseStockPolicy
75,W1,188.0,BaseStockPolicy
75,W2,240.0,BaseStockPolicy
75,R1,145.0,BaseStockPolicy
75,R2,65.0,BaseStockPolicy
75,R3,202.0,BaseStockPolicy
76,W1,210.0,BaseStockPolicy
76,W2,202.0,BaseStockPolicy
76,R1,161.0,BaseStockPolicy
76,R2,86.0,BaseStockPolicy
76,R3,240.0,BaseStockPolicy
77,W1,247.0,BaseStockPolicy
77,W2,240.0,BaseStockPolicy
77,R1,211.0,BaseStockPolicy
77,R2,146.0,BaseStockPolicy
77,R3,289.0,BaseStockPolicy
78,W1,357.0,BaseStockPolicy
78,W2,289.0,BaseStockPolicy
78,R1,210.0,BaseStockPolicy
78,R2,124.0,BaseStockPolicy
78,R3,303.0,BaseStockPolicy
79,W1,334.0,BaseStockPolicy
79,W2,303.0,BaseStockPolicy
79,R1,159.0,BaseStockPolicy
79,R2,82.0,BaseStockPolicy
79,R3,215.0,BaseStockPolicy
80,W1,241.0,BaseStockPolicy
80,W2,215.0,BaseStockPolicy
80,R1,129.0,BaseStockPolicy
80,R2,78.0,BaseStockPolicy
80,R3,223.0,BaseStockPolicy
81,W1,207.0,BaseStockPolicy
81,W2,223.0,BaseStockPolicy
81,R1,138.0,BaseStockPolicy
81,R2,84.0,BaseStockPolicy
81,R3,242.0,BaseStockPolicy
82,W1,222.0,BaseStockPolicy
82,W2,242.0,BaseStockPolicy
82,R1,125.0,BaseStockPolicy
82,R2,70.0,BaseStockPolicy
82,R3,213.0,BaseStockPolicy
83,W1,195.0,BaseStockPolicy
83,W2,213.0,BaseStockPolicy
83,R1,195.0,BaseStockPolicy
83,R2,82.0,BaseStockPolicy
83,R3,311.0,BaseStockPolicy
84,W1,277.0,BaseStockPolicy
84,W2,311.0,BaseStockPolicy
84,R1,215.0,BaseStockPolicy
84,R2,121.0,BaseStockPolicy
84,R3,339.0,BaseStockPolicy
85,W1,336.0,BaseStockPolicy
85,W2,339.0,BaseStockPolicy
85,R1,225.0,BaseStockPolicy
85,R2,113.0,BaseStockPolicy
85,R3,318.0,BaseStockPolicy
86,W1,338.0,BaseStockPolicy
86,W2,318.0,BaseStockPolicy
86,R1,125.0,BaseStockPolicy
86,R2,72.0,BaseStockPolicy
86,R3,229.0,BaseStockPolicy
87,W1,197.0,BaseStockPolicy
87,W2,229.0,BaseStockPolicy
87,R1,105.0,BaseStockPolicy
87,R2,67.0,BaseStockPolicy
87,R3,183.0,BaseStockPolicy
88,W1,172.0,BaseStockPolicy
88,W2,183.0,BaseStockPolicy
88,R1,136.0,BaseStockPolicy
88,R2,74.0,BaseStockPolicy
88,R3,173.0,BaseStockPolicy
89,W1,210.0,BaseStockPolicy
89,W2,173.0,BaseStockPolicy
89,R1,111.0,BaseStockPolicy
89,R2,62.0,BaseStockPolicy
89,R3,193.0,BaseStockPolicy
